===HANDOFF START===
MODE: mechanical_transform
COMMIT: "Maintenance: Add missing YAML type fields to World_Building files | 170+ files fixed | YAML compliance audit 2026-05-15"

---AETHELMARK SETTING DOCUMENTS---
PATH: World_Building/Aethelmark/Aethelmark.md
OPERATION: add_type_field
TYPE: setting-document

PATH: World_Building/Aethelmark/Hanging_Threads.md
OPERATION: add_type_field
TYPE: rules-reference

PATH: World_Building/Aethelmark/Laws_and_Framework.md
OPERATION: add_type_field
TYPE: setting-document

PATH: World_Building/Aethelmark/Master_Calendar.md
OPERATION: add_type_field
TYPE: rules-reference

PATH: World_Building/Aethelmark/Skill_Tree_Visualization.md
OPERATION: add_type_field
TYPE: rules-reference

---AETHELMARK CENDREL---
PATH: World_Building/Aethelmark/Cendrel/Cendrel.md
OPERATION: add_type_field
TYPE: setting-document

PATH: World_Building/Aethelmark/Cendrel/Kennel_Hounds_Setting.md
OPERATION: add_type_field
TYPE: setting-document

PATH: World_Building/Aethelmark/Cendrel/Timeline_Kennel_Hounds.md
OPERATION: add_type_field
TYPE: rules-reference

PATH: World_Building/Aethelmark/Cendrel/Camp_Rochevaux/Camp_Rochevaux.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Cendrel/Camp_Rochevaux/Buyers_Facility.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Cendrel/Maruvec/Maruvec.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Cendrel/Maruvec/Maruvec.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Cendrel/Vauclair/Vauclair.md
OPERATION: add_type_field
TYPE: location

---AETHELMARK SILBERBACH REGION---
PATH: World_Building/Aethelmark/Silberbach/Region/The_March_of_Silberbach.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Westgate.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Aldenberg_Hold_Settlement.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Graudorf.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Reinheim.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Halselund.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Meerhold.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Waldheim_Lodge_Settlement.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Kaelens_Ford.md
OPERATION: add_type_field
TYPE: location

---AETHELMARK SILBERBACH TOWN---
PATH: World_Building/Aethelmark/Silberbach/Town/Silberbach.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Town/Market_Square.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Town/The_Harbor_District.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Town/The_Silver_Eel.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Town/The_Old_Temple.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Town/Valtor_Keep.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Town/Weavers_Row.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Town/Silberbach_Arrival.md
OPERATION: add_type_field
TYPE: rules-reference

---AETHELMARK MANOR---
PATH: World_Building/Aethelmark/Silberbach/Region/Factions/Manor/Isalias_Manor.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Factions/Manor/Manor_Services.md
OPERATION: add_type_field
TYPE: rules-reference

PATH: World_Building/Aethelmark/Silberbach/Region/Factions/Manor/Main_Building.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Factions/Manor/The_Apothecary.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Factions/Manor/The_Garden_Wing.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Factions/Manor/Infirmary.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Factions/Manor/Kennels_and_Stables.md
OPERATION: add_type_field
TYPE: location

PATH: World_Building/Aethelmark/Silberbach/Region/Factions/Manor/Industrial_Shops.md
OPERATION: add_type_field
TYPE: location

---AETHELMARK NOBLE HOUSES---
