,,,,,,,,,,,,,,,,,,,Galli,,,,,,,,,,,,,,,,,,
Name,,,,,,,,,,,,,,,,,,,Player,,,,,,,,,Alignment,,,,,,,,,
Royal frilled dragon Hachling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race,,,,,,,,,,,,,Class,,,,,,,,,,,,,Level,,,,,,Experience,,,,,
4 days,,,,,,,,,,tall,,,,,lots,,,,,blue,,,,,,,,,,,,,,,,,
Age,,,,,Sex,,,,,Height,,,,,Weight,,,,,Skin Color,,,,,,Hair Color,,,,,,Eye Color,,,,,
Attributes:,,,,Combat Modifiers,,,,,,,,Save Versus…,,,,,,,,,O.C.C. Skills:,,,,,,,,,,,%/Lvl,,,%,,
I.Q.:,,22,,,,Total ApM.:,,,,3,,,,Psionics:,,,+,5,,,Basic Math,,,,,,,,,,,,,,98,,8
M.E.:,,19,,,,Initiative:,,,+,2,,,,Insanity:,,,+,3,,,Language: Dragon,,,,,,,,,,,,,,98,,
M.A.:,,18,,,,Damage:,,,+,4,,,,Drugs/Toxins:,,,+,2,,,Language: American,,,,,,,,,,,3,,,73,,
P.S.:,,19,,,,Strike:,,,+,3,,,,Coma/Death:,,,+,5,,,,,,,,,,,,,,,,,,,
P.P.:,,17,,,,Parry:,,,+,4,,,,Magic:,,,+,2,,,,,,,,,,,,,,,,,,,
P.E.:,,16,,,,Dodge: ,,,+,4,,,,Horror,,,+,6,,,,,,,,,,,,,,,,,,,
P.B.:,,26,,,,Roll w/Impact:,,,+,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spd.:,,17,,,,,,,,,,,Running Speed in Mph./Kph.:,12,,/,,60,,,,,,,,,,,,,,,,,,,
,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.P.:,24,,,,,M.D.C.:,500,,,,P.P.E.:,80,,,,I.S.P.:,120,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perception:,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,,,,,,O.C.C. Related Skills:,,,,,,,,,,,%/Lvl,,,%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disposition:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place of Origin:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural/Special Abilities, Powers, & Vulnerabilities:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Secondary Skills:,,,,,,,,,,,%/Lvl,,,%,,
,,,,,,,,,,,,,,,,,,,,,Basic Mechanics,,,,,,,,,,,5,,,38,,
,,,,,,,,,,,,,,,,,,,,,Basic Electronics,,,,,,,,,,,5,,,38,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Proficiencies:,,,,,,,,,,,,,,,Strike,,,Parry,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,
