,,,,,,,,,,0,o,
Carry,STR:,14,,Super STR:,0,,58,Light,58,1,o,
1,3,6,,10,20,,116,Med,116,2,oo,
2,6,13,,20,40,,175,Heavy,175,3,ooo,
3,10,20,,30,60,,350,Max,350,4,oooo,
4,13,26,,40,80,,,,,5,ooooo,
5,16,33,,50,100,,,Super Multiple,1,6,oooooo,
6,20,40,,60,120,,,,,7,ooooooo,
7,23,46,,70,140,,58 lbs,Light,58,8,oooooooo,
8,26,53,,80,160,,116 lbs,Med,116,9,ooooooooo,
9,30,60,,90,180,,175 lbs,Heavy,175,10,oooooooooo,
10,33,66,,100,200,,350 lbs,Max,350,11,ooooooooooo,
11,38,76,,115,230,, lbs,,,12,oooooooooooo,
12,43,86,,130,260,,175 lbs,Overhead,175,13,ooooooooooooo,
13,50,100,,150,300,,350 lbs,Offground,350,14,oooooooooooooo,
14,58,116,,175,350,,1750 lbs,Push/Drag,1750,15,ooooooooooooooo,
15,66,133,,200,400,,,,,16,oooooooooooooooo,
16,76,153,,230,460,,,,,17,ooooooooooooooooo,
17,86,173,,260,520,,,,,18,oooooooooooooooooo,
18,100,200,,300,600,,,,,19,ooooooooooooooooooo,
19,116,233,,350,700,,,,,20,oooooooooooooooooooo,
20,133,266,,400,800,,,,,21,ooooooooooooooooooooo,
,,,,,,,,,,22,oooooooooooooooooooooo,
,,,,,,,,,,23,ooooooooooooooooooooooo,
24,ABILITIES,,,,,,,,,24,oooooooooooooooooooooooo,
6,BASE ATT,,,,,,,,,25,ooooooooooooooooooooooooo,
6,BASE DEF,,,,,,,,,,,
56.0,SKILLS,,,,,,,,,,,
14,FEATS,,,,,,,,,,,
54,POWERS,,,,,,,,,,,
-10,WEAKNESS,,,,,,,,,,,
150,TOTAL,,,,,,,,,,,
0,UNSPENT,,,,,,,,,,,
,,,,,,,,,,,,
Enumeration,POWER NAME,Cost/rank,Action,Range,Duration,Save,Page,DC Type,Stunt,Extra,Flaw,Errata
1,Absorption,3,None,Personal,Continuous,N/A,60,general,,"Both types, Increased capacity","One energy type, Energy Control",YES
2,Alternate Form,5,Free,Personal,Sustained,N/A,61,general,Extra form,Continuous,Touch,YES
3,Amazing Save,1,None,Personal,Continuous,N/A,61,none,,Other save bonus,,
4,Animation,2,Half,Normal,Sustained,N/A,62,general,,"Animate gasses, Animate images, Animate liquids, Animate Shadows, Horde",Limited - one type,
5,Armor,1,None,Personal,Continuous,N/A,62,none,,Immunity,Ablative,
6,Astral Projection,5,Half,Personal,Continuous,N/A,62,general,,Dimensional Travel,,
7,Blending,1,Free,Personal,Continuous,N/A,63,none,,,,
8,Boost,2,Half,Personal,Instant,N/A,63,general,,"Affects others, All attributes",,YES
9,Clinging,1,Half,Personal,Sustained,N/A,63,none,,,Limited - one surface,
10,Combat Sense,1,None,Personal,Continuous,N/A,63,general,,,,
11,Comprehend,2,Reaction,Personal,Continuous,N/A,63,general,,,"Limited (speech only, writing only)",
12,Corrosion,1,Half,Touch,Instant,N/A,63,general,,,,
