Heros Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,
Name:,,Anthony Wilmington,,,,,,,,,,,,,,Player:,,,,,,,,,,
Code Name:,,,,,,,,,,,,,,,,Alignment:,,,,,,,,,,
Power Category:,,,,Mutant Animal,,,,,,,,,,,,Level:,,,XP:,,,,/,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Attributes,,,,Education Level:,,,,,,,,,,,,(+ 20  %),,3,Prog,10,Sec,,,,,
IQ,15,,,Primary Skills - -,,,,,,,,,Secondary Skills - - ,,,,,,,,,Physical,,,,
ME,13,,,Speak:,,Draconic,,,98,%(+  5 ),,,,,,,,,-,%(+  5 ),,Wrestling,,,,
MA,15,,,Read/Write:,,Draconic,,,98,%(+  5 ),,,Pilot: Auto,,,,,,-,%(+  2 ),,H2H Expert,,,,
PS,34,,,Bussiness Program,,,,,-,%(+     ),,,Track Animals,,,,,,25,%(+  5   ),,athletics,,,,
PP,12,,,Basic math,,,,,65,%(+ 5),,,Hunting,,,,,,-,%(+     ),,running,,,,
PE,23,,,Business and Finance,,,,,55,%(+  5   ),,,Wilderness survival,,,,,,30,%(+  5   ),,,,,,
PB,25,,,Computer Operation,,,,,60,%(+ 5    ),,,climbing,,,,,,40,%(+ 5   ),,,,,,
Spd,22,,,Law (general),,,,,45,%(+  5   ),,,prowl,,,,,,27,%(+ 5    ),,,,,,
HP,28,,,Research,,,,,70,%(+ 5    ),,,,,,,,,-,%(+     ),,,,,,
SDC,118,,,Science Program,,,,,-,%(+     ),,,,,,,,,-,%(+     ),,,,,,
ISP,,,,Advanced Math,,,,,65,%(+  5   ),,,,,,,,,-,%(+     ),,Back Flip,,,,%(+     )
PPE,,,,Chemistry,,,,,50,%(+  5   ),,,,,,,,,-,%(+     ),,Bars/Rings,,,,%(+     )
HF,,,,Archology,,,,,40,%(+ 5    ),,,,,,,,,-,%(+     ),,Climb Rp.,,,,%(+     )
,,,,Astrophysics,,,,,45,%(+   5  ),,,,,,,,,-,%(+     ),,Repelling,,,,%(+     )
,,,,Computer programming,,,,,50,%(+  5   ),,,,,,,,,-,%(+     ),,Sense/Bal.,,,,%(+     )
,,,,Languages Program,,,,,-,%(+     ),,,,,,,,,-,%(+     ),,Tightrope,,,,%(+     )
,,,,Chinese,,,,,55,%(+ 5    ),,,,,,,,,-,%(+     ),,,,,,
,,,,German,,,,,55,%(+ 5    ),,,,,,,,,-,%(+     ),,,,,,
,,,,Russian,,,,,55,%(+ 5    ),,,,,,,,,-,%(+     ),,,,,,
,,,,English,,,,,55,%(+ 5    ),,,,,,,,,-,%(+     ),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Saves,,,,,,W.P. Skill,,,,,Str,Pry,Thr,,"Super Powers, etc.",,,,,,,,,,,
Coma/Death,,,,+16,%,,,,,,+,+,+,,1,Bend light,,,,,(    ),page 229,,,,
Horror,,,,+,,,,,,,+,+,+,,,,,,,,,,,,,
Possession,,,,+,,,,,,,+,+,+,,,,,,,,,,,,,
Psionics,,,,+,,,,,,,+,+,+,,,,,,,,,,,,,
Magic,,,,+4,,,,,,,+,+,+,,,,,,,,,,,,,
Poison,,,,+4,,,,,,,+,+,+,,2,energy expulsion: electrical field,,,,,(    ),page 231,,,,
,,,,,,,,,,,+,+,+,,4d6 every 5 seconds,,,,,,,,,,,
,,,,,,,,,,,+,+,+,,10 foot+2/lvl radius,,,,,,,,,,,
Combat,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacks,,4,,+,Fl.,Charm/Imp,,,,%,,,,,,,,,,,,,,,,
Initiative,,+,,+,Fl.,Trust/Intim,,,,%,,,,,3,super vision: advanced sight,,,,,(    ),pg 237,,,,
Strike,,+,,+,Fl.,Armor:,,,,,,,,,,,,,,,,,,,,
Parry,,+,,1,Fl.,AR:,11,SDC,118,/,118,,,,,,,,,,,,,,,
Dodge,,+,,1,Fl.,,,,,,,,,,,,,,,,,,,,,
Auto-Dodge,,,,+,,Money:,,,,.,,,,,,,,,,,,,,,,
Damage,,,,+19,,,,,,,,,,,4,Exceptional PB,,,,,(    ),,,,,
Roll w/ PFI,,,,4,,Equipment:,,,,,,,,,,25 PB,,,,,,,,,,
Other Stuff:,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,,,,,,(    ),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,,,,,,(    ),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,,,,,,(    ),,,,,
Desciption:,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
