Rifts Character Sheet,,,,,,,,,,
Character Information,,,,,,,,,,
Name,Daniel,sanchez,Age,,,Alignment,,,,
Sex ,,,Height/Weight,,,OCC/RCC,,,,
Race,dogboy Retriever,,Hair/Eyes,,,Level,5,,,
Attributes,,,Combat Stats H2H basic,,Damage Capacity,,,,,
IQ,18,4,Strike,4,Hit Points,16,Current,,,
ME,12,,Parry,5,SDC/MDC,45,Current,,,
MA,13,,Dodge,5,Armor Type,,,,Baracuda underwater armor,
PS,19,4,Roll,6,Current MDC,,,,head,55
PP,21,3,Damage,4,Weight,,x2,,l arm,22
PE,16,,Initiative,2,Prowl Penalty,,,,r arm,22
PB,14,,Attacks,2,Speed Penalty,,,,chest,55
SPD,43,,HTH,,Environmental?,,,,l leg,40
Run,860,yds/min,Knockout Roll,,Techno-Wizard additions:,,,,r leg,40
Swim,228,yds/min,Critical Strike Roll,,,,,,,
HF,,,Death Blow Roll,,,,,,,
Saving Throws,,,,,Special/Natural Abilities,,,,,
Saving Throws,,Basic,Modifier,Roll Needed,Sense Psychic/magic energy 50 feet,,,,,
Poison: Lethal,,,,0,Sense Supernatural 100 feet/level,,,,,
Poison: Non-lethal,,,,0,sense of smell,,,,,
Harmful Drugs,,,,0,,,,,,
Insanity,,,,0,,,,,,
Psionics,,10,1,9,,,,,,
Magic Spell,,,,0,,,,,,
Magic Ritual,,,,0,,,,,,
Horror Factor,,,,0,,,,,,
Coma/Death,,,,0,,,,,,
Languages Spoken:,,amer 90,draconic 90,,,,,,,
Read/Write:,,,,,,,,,,
Skills,,,,,,,,,,
Skills,,,,Total %,Class bonus,Base,Bonus,%/Level,,
Race,sense psy/magic,,,18,,8,4,2,,
Race,sense supernatural,,100 feet/level,72,,62,4,2,,
Race,id common odors,,100 feet/level,83,,70,4,3,,
Race,id specific odors,,25 feet/level,64,,54,4,2,,
Race,track by smell,,,61,5,40,4,4,,
Race,Swimming,,,99,0,80,4,5,,
1,archaeology,,,39,0,20,4,5,,
1,auto mechanic,,,49,5,25,4,5,,
1,back flip,,gym,94,5,70,4,5,,
1,climb rope,,gym,85,5,70,4,2,,
1,climbing,,,69,10,40,4,5,,
1,cooking,,,54,0,35,4,5,,
1,demolitions,,,78,5,60,4,3,,
1,first aid,,,69,5,45,4,5,,
1,hunting,,,4,0,,4,,,
1,Intel,,,54,6,32,4,4,,
1,land nav,,,14,10,,4,,,
1,lit ami,,,49,0,30,4,5,,
1,lit drac,,,49,0,30,4,5,,
1,math adv,,,64,0,45,4,5,,
1,math basic,,,69,5,45,4,5,,
1,parallel bars,,gym,78,5,60,4,3,,
1,pilot auto,,,80,10,60,4,2,,
1,prowl,,,51,7,25,4,5,,
1,Radio basic,,,74,10,45,4,5,,
1,radio scrambler,,,54,0,35,4,5,,
1,read sensor,,,14,10,,4,,,
1,Scuba ,,,69,0,50,4,5,,
1,sense of balance,,gym,74,5,50,4,5,,
1,weapon sys,,,14,10,,4,,,
1,wild survival,,,64,15,30,4,5,,
4,,,,4,0,,4,,,
4,,,,4,0,,4,,,
4,,,,4,0,,4,,,
8,,,,4,0,,4,,,
8,,,,4,0,,4,,,
8,,,,4,0,,4,,,
,,,,4,0,,4,,,
